Question	Answer	Intent	Entities	Link
Recently, I submit an application to UAH and the status have remained "In Process" for a long time. I'm kind of anxious because I don't know if I could have a place to live in New York.  In addition, I want to know why Arbor is special because I found it is mentioned during application. Is that far from campus? And how long would it take?	UAH allocation notifications will be sent in July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August 12, 2016, you may consider your application Waitlisted.  Information about the Arbor may be found here. There are shuttles that run from between the Arbor and Columbia Morningside campus throughout the day. I believe it takes about 20 minutes.	Notification	UAH	
I have a question regarding the application for International House. Shall I apply both through UAH and its webpage or only one is sufficient? I believe UAH and the webpage of International House requires different documents from applicants. Does applying through both UAH and its webpage give me a better chance to get in?	Yes, you would have a better chance of getting an allocation in IHouse if you apply through both methods. It is up to you.	Chances	UAH	
I just wanted to let you know that I already submitted an application for housing before getting your e-mail, because I wanted to apply as soon as possible considering that the university housing is so limited. I submitted my application on the 20th of April and according to its status that I check every day, it’s "under review by my school" (meaning the School of Engineering). I just wanted to check that you really received it for considaration or whether I have to reapply.	Your application is fine. UAH allocation notifications will be sent in July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August 12, 2016, you may consider your application Waitlisted.	Notification	UAH	
I was wondering if there was a typical time to expect to hear from UAH about whether I’ve received a housing offer. I was talking to a fellow incoming PhD student and she mentioned that she had received (and accepted) her offer last week, so I’m worried that I might have missed the boat.	UAH allocation notifications will be sent in July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August 12, 2016, you may consider your application Waitlisted. 	Notification	UAH	
I've not heard about the result of housing application. Would you please tell me when I will receive the result?	UAH allocation notifications will be sent in July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August 12, 2016, you may consider your application Waitlisted.	Notification	UAH	
I recently graduated from Columbia's SEAs program and I am an incoming masters student in the mechanical engineering department. This summer I am working as a research assistant with Professor Matei Ciocarlie and I am leading Columbia University's Formula SAE race car team. I just paid for the senior extension housing through July 1st, but I need a place to stay from July 1st through the 2016-2017 academic year. I put in a housing application for graduate studies two months ago but have not yet received a response. Would you kindly put me on a priority list to enable me to make a seamless housing transition July 1st? 	UAH allocation notifications will be sent in July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August 12, 2016, you may consider your application Waitlisted.	Notification	UAH	
I will be starting as a Biomedical Engineering PhD student at Columbia this coming Fall. I applied for student housing over a month ago but the housing portal still says that I need to be approved by the schools. On the housing website it lists your email as the housing liason for engineering. I was just wondering if there is any thing i need to get the housing approved or does it usually take a few months to get the housing assignment? 	UAH allocation notifications will be sent in July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August 12, 2016, you may consider your application Waitlisted.	Notification	UAH	
I will be joining Columbia University as a PhD candidate in the Biomedical Engineering department.   I had submitted my housing application on the last week of April and the status still says that my application has been received by UAH. Could you tell me when the SEAS will start reviewing housing applications?	UAH allocation notifications will be sent in July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August 12, 2016, you may consider your application Waitlisted.	Notification	UAH	
I just wanted to know when will my application approximately be processed. I am an international student, and I will arrive to the US in the beginning of August. It will therefore be very difficult for me to view apartments for rent, and I will need sufficient time to plan ahed and look for fall back plans. I do prefer on campus housing, but I know it's not guaranteed, so I wanted to know is it better to wait until my applications gets processed and I get a response or is there a time where I must start pursuing alternatives regardless?	UAH allocation notifications will be sent in July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August 12, 2016, you may consider your application Waitlisted.	Notification	UAH	
I'm an incoming PhD student in the Department of Biomedical Engineering. I applied for housing in April and was just wondering when students are generally notified of their housing placement. Is it usually up until August?	UAH allocation notifications will be sent in July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August 12, 2016, you may consider your application Waitlisted.	Notification	UAH	
I've been accepted to the Master's program in computer science. I submitted a request to join the housing group on Facebook, but my request has been pending for weeks. Is it possible at all to accept me into the group?	Done. Sorry for the delay.	Application	Facebook Group	
I have applied to to facebook housing group. Could you accept my application?	I've admitted you in the FB group.	Application	Facebook Group	
How reliable are the listings on OCHA. Is there a possibility of fraud there? 	OCHA is maintained by full-time Columbia University staff. You can be fairly certain the listings are reliable. 	Misc	OCHA	
Is there an anticipated date for housing assignments/offers? 	UAH allocation notifications will be sent in July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August 12, 2016, you may consider your application Waitlisted.	Notification	UAH	
Is it advisable to give a deposit to the advertiser there to secure an apartment.?	We only encourage students to place a deposit once they have visited the apartment and discussed the lease or sublet agreement with the landlord or primary tenant respectively. Please review the slides here; password is SEAS2016.	Misc	Housing	
Is there a deadline at which the checklist must be completed?	You'll notice on the new student check-list, the deadline to submit your final transcripts and test scores is October 7.	Deadline	Checklist	
I check the new student checklist and it says that I need submit my final transcripts. The deadline is October 7, so I think that I could take my transcripts with me and submit the transcripts to the office when I reach the Columbia University on August 17. I just want to ask that would it influence my class registration? (Reason: When I begin the process of class registration, I don't submit my transcripts yet.)	The deadline for transcripts was set in coordination with registration procedures, so it will not affect your Fall 2016 registration. However, if your final/official transcripts are not received by Oct. 7, a hold will be placed on your registration for Spring 2017.	Deadline	Transcript	
Would you please let me know if there are any deadlines during this period that I should be aware of?	All of the necessary information for your pre-arrival are on the checklist. Please contact your Department for any registration-related advising dates/requirements. Their contacts can be found here.	Deadline	Checklist	
 How can I conform that my final transcript has been received? Tufts sent it to the Office of Graduate Student Affairs, and now I want to confirm that it’s been received. 	You will receive an email confirming when your final transcripts are processed. If you have sent final transcripts but have not received confirmation, please contact seasgradmit@columbia.edu.	Notification	Transcript	
Question for you. I have sent in my official transcripts but want to make sure they were received.   I will be pursuing my Masters in Environmental Engineering. Do you know who the contact person would be in that department to confirm whether my transcripts are received? 	You will receive an email confirming when your final transcripts are processed. If you have sent final transcripts but have not received confirmation, please contact seasgradmit@columbia.edu.	Notification	Transcript	
How do I submit my immunization documentation?	Immunization documentation may be submitted to the Columbia Health Immunization Compliance Office: In person: Immunization Office, Alfred Lerner Hall, 7th Floor, Monday-Friday, 9:00 a.m. - 5:00 p.m. By mail: Immunization Office, Alfred Lerner Hall, 2920 Broadway, MC 2605, New York, N.Y. 10027 By fax: (212) 854-5078If you have sent copies of your immunization records, to confirm that they have been received, please contact Columbia Health at (212) 854-7210 orimmunizationcompliance@columbia.edu.  EMAILED COPIES ARE NOT ACCEPTED DUE TO PATIENT CONFIDENTIALITY POLICIES.  For more information, please see here.	How	Immunization	
Is there a deadline at which the checklist must be completed?	New students must provide proof of vaccination for Measles, Mumps and Rubella "no later than 30 days prior to course registration.” As Departments have various different registration dates, please submit your documents as soon as possible.	Deadline	Checklist	
For certificate program students,do I still need to submit MMR & Meningitis Vaccination Documents?	Yes.	Required	Immunization	
a student from Iran who will attend the doctoral program of Computer Science at Columbia in fall 2016. Due to difficulties and high cost of sending documents from Iran to the U.S., do you think it is possible to email a copy of my vaccination immunization to one of my friends who is in New York, and she brings the hard copy to the immunization office, or it must be the original form?	On Step 5 of the checklist, you will see one option for sending the documents is by fax to (212) 854-5078.   If you would like to explore the possibility of your proposal, please contact Columbia Health at (212) 854-7210 orimmunizationcompliance@columbia.edu.	How	Immunization	
I am an incoming graduate student for the Masters in Management Science and Engineering program at Coulmbia. I had a couple of questions on course registration and am unsure who would be the best person to ask about them. Specifically, I am trying to figure out in which time frame I am allowed to register for classes in, since my SSOL account does not show any current registration periods available for me. I looked at the registration dates in the academic calendar and it shows that some registration dates for SEAS grad students have already passed and some are still coming up. I am unsure which period will apply to me.  Please let me know if you can assist me with this else please direct me to someone who can.	Your Department Administrator will be contacting you regarding registration dates and procedures in the coming months. In the meantime, please carefully read and complete the items on the new student check-list.	How	Registration	
Now, I want to confirm the specific period for course registration. Could you please give me related information and guidance.	Please refer your question to your Department Contact found here.	How	Registration	
I'm a recently admitted student for the MS in Computer Science. I haven't received any communication regarding financial aid and class registration, so I just wanted to make sure I haven't missed anything.  Additionally, I know that registration for first time students seems concurrent with advisor meetings. Do these happen during orientation in August?	Details about registration for incoming students will be shared by Department.  Department-specific contacts are available here.	How	Registration	
I was hoping someone could help me with something. I'm an incoming PhD candidate in the Department of Biomedical Engineering, and as part of my UAH application, it asks for my program start date and anticipated graduation month/year. What should I put for these two entries?	 Your start date is September 6, 2016. Please estimate your required PhD graduation.	How	Registration	
Do you know when we can register for fall courses?	You Department Administrator will be contacting you regarding registration dates and procedures in the coming months. In the meantime, please carefully read and complete the items on the new student check-list.	How	Registration	
Also, I'm not sure if course offerings for the Fall semester are available yet but would great to see how students have completed the Masters program in the past. As in a student took these 2 or 3 courses in Fall 2015, and these courses in Spring 2016. I am trying to prepare and it would be great to know the sequence or a sample sequence.		Misc	Course	
Can you explain what is the further procedure to obtain i20 after creation of UNI?	For questions related to the visa application process, your I-20, or Optional Practical Training, contact isso@columbia.edu.	Info	Visa	
I have sent my I20 Request long before, but I haven't received my I20 yet. Could you help me check if they begin to send my I20?	For questions related to the visa application process, your I-20, or Optional Practical Training, contact isso@columbia.edu.	Notification	Visa	
I have been admitted to the dual MS in Journalism and Computer Science. I am an american citizen, though I have been in India for the past 14 years, so I'm a little confused as to which checklist to follow. Should I follow the International Students' checklist or the regular Students' checklist?	Please contact isso@columbia.edu regarding any special travel requirements. I don't believe you will need to do anything on the international student check-list.	Misc	Checklist	
I want to know where do you send me important communication? My personal email address or Columbia email address ?  I have problem accessing my Columbia student email in China. Would you please send important emails to this email address now?	Correspondence from Columbia Engineering will go to your @126.com email until August 19. Then, we'll begin sending your @columbia.edu email.	Misc	Email	
I am going to attend Civil Engineering Master Program Fall 2016. I am wondering if the Grad SEAS Welcome Day is mandatory or not. I am afraid that I would not be able to attend that due to my new VISA process. 	While Grad SEAS Welcome Day activities are not mandatory, we strongly encourage incoming graduate students to attend to meet fellow classmates, administrators, and faculty. These activities are intended to help familiarize new students with University resources and build community before everyone gets busy with academics. That said, we understand there are unavoidable circumstances which may delay your arrival in New York.   Please join us for as many of the Fall Welcome Day activities listed here as possible. You will be responsible for learning the material that is covered, which will also be shared via email. 	Required	Welcome Day	
Since I am going to transfer out my I20 from my current school on June 29th, I am worried that it will take several weeks until I can receive my I20. So, what if I can not attend the welcome day? Sorry about that! I really hope that I could attend the welcome day. 	While Grad SEAS Welcome Day activities are not mandatory, we strongly encourage incoming graduate students to attend to meet fellow classmates, administrators, and faculty. These activities are intended to help familiarize new students with University resources and build community before everyone gets busy with academics. That said, we understand there are unavoidable circumstances which may delay your arrival in New York.   Please join us for as many of the Fall Welcome Day activities listed here as possible. You will be responsible for learning the material that is covered, which will also be shared via email. 	Required	Welcome Day	
I completed and submitted the online application form as well as  the combined supporting documents in exchange of I-20. I note Shipment Tracking of UEMS haven't been available. Could you tell me when I may receive my I-20 parcel?	For questions related to the visa application process or the status of your I-20, please contact newintlstudent@columbia.edu.	Application	Visa	
There is a problem when I tried to pay for the I20, I have tried two different cards, one is my chasedebit card, one is a visa credit card. But it kept showing "Payment failed at the payment server. Please review your information and try again. If issues persist please contact your issuing bank. "	For questions related to the visa application process, your I-20, or Optional Practical Training, contact isso@columbia.edu.	Application	Visa	
Here's a quick question. I haven't find the link or form for I 20 form. Could you please kindly provide it. I would sincerely appreciate.		Application	Visa	
I have submitted the I20 requests documents to your university for nearly one month. However,  I have not received my I-20. Could you help me to check if my I20 has been sent to me or if other documents needed to apply for my I20? Actually, I am worrying about it because the opening day is coming.	For questions related to the visa application process, your I-20, or Optional Practical Training, contact isso@columbia.edu.	Application	Visa	
I am a new incoming CS graduate student, and have a question relating to Visa and I-20,  When should I start going through visa process? and what email or documents would be sent to students?	For questions related to the visa application process, your I-20, or Optional Practical Training, contact isso@columbia.edu.	Application	Visa	
Most of the financial aid links are specific to the 2015-2016 school year—have applications not opened yet or am I going to the wrong place?	Information related to financial aid for Graduate Engineering is available here.	Application	Financial Aid	
I was admitted into the Certification of Professional Achievement in Data Sciences program last week and I accepted the offer on Thursday. I am trying to activate my UNI and I keep getting a message saying "UNI not found."   Can you please help resolve this issue? Has the system not had a chance to update with my credentials, and is that why I am getting this error?	Regarding your UNI, please activate as-is and create an alias for yourself; instructions for doing so are available here.	Issue	Uni	
 After I received my housing assignment today (Friday), I called UAH five times this afternoon to no answer and submitted a contact form through the housing site. Not sure if you're the right person to go to about this but since you hosted the housing webinar I figured I'd try reach out to you as well since I'm pretty desperate for a resolution to this issue. I will call UAH again first thing Monday morning. I'm sure this is a busy time of the year for you but I would be more than grateful for any help at all!                                                                                            So I'm an incoming PhD student in the electrical engineering department. In the housing application I indicated I'm not interested in the Arbor. Despite that, I was still assigned to the Arbor. This seems like a mistake because my friend, who is also an incoming SEAS PhD student, whom I specified as a roommate preference (who also specified me)--had the same thing happen to him: he was also assigned to the Arbor even though he didn't indicate interest in it, however, unlike me, he managed to get a call in to UAH Friday afternoon, and earlier this evening at 7pm he told me he was reassigned housing near campus.  I am absolutely certain living in the Arbor will not work for me, one reason being I will be working in the lab late--past shuttle hours--at which point returning to the Arbor will be prohibitively difficult. I feel I should get a reassignment just as another student did, as we are in equivalent situations. Please let me know if there's anything I can do to help fix this problem, such as being more flexible with my move in date. Thank you so much for your help. I'm looking forward to joining Columbia this fall.	Please call University Apartment Housing (UAH) regarding this issue, their number is availble here.	Issue	UAH	
My name is Yuxuan Chen and my Facebook name is Ethan Chen. I requested to join the housing search group but has yet to be approved. Can you confirm my request soon?	You've been approved in the group.	How	Facebook Group	
 I am having trouble getting a hold of the graduate housing office so I am going to direct my question to you.  I received my housing assignment and am curious as to when the lease starts, and if I am able to have someone else (who is not living in the apt) view the apartment on my behalf? If so, what times can they view it as well?	You were correct to contact the UAH office with these questions. Your move-in date will be arranged depending on your needs and availability. Please follow up with uah@columbia.edu. 	Info	UAH	
I hope this email finds you well. I am applying to a scholarship from my home country and just received a forwarded email from my scholarship's office directed to the office of admission of Columbia. (See below)  Would you be able to answer the questions of the email below and send it to [email]  as soon as possible. It's just a few questions for them to verify that I was offered admission and did not receive a scholarship. I have attached the two documents that Admissions office prepared for me, which I have mailed to them. If possible, please attach them to the email that you'll send.	Please refer your question to seasgradmit@columbia.edu.	Misc	Admissions	
I received admission as PhD for 2016 fall (transfer from Master to PhD)  I already sent official transcript from my previous university and official GRE transcript from ETS.  I confirmed that the tuition deposit is unnecessary.  I wonder that there is anything that I missed for registration.  Should I have MMR again?	A second MMR is not required.	Required	Immunization	
How to get a student I-20?	How to get a student I-20: http://isso.columbia.edu	How	Visa	
How to transfer my I-20 from another school?	How to transfer my I-20 from another school: http://tinyurl.com/f1transfer	How	Visa	
What to do if I forgot my I-20/DS-2019? What to do if my travel signature is 1+ year old?	(a) Print your semester registration as proof of enrollment http://ssol.columbia.edu (b) ask an inspector for an I-515 for 30-day admission: http://tinyurl.com/abouti515 (c) Do NOT enter the U.S. in visitor status!	Misc	Visa	http://ssol.columbia.edu
Information about working in the U.S.?	5. Information about working in the U.S.: F-1 students:  J-1: http://tinyurl.com/j1work	Info	F-1	https://isso.columbia.edu/
Information for prospective Visiting Scholars (short-term independent research/study)?	Information for prospective Visiting Scholars (short-term independent research/study): http://tinyurl.com/vissch	Info	visiting scholar	https://isso.columbia.edu/content/departments
How to contact a Columbia Engineering department?	7. How to contact a Columbia University school/department: http://tinyurl.com/cudepart	How	department	http://www.columbia.edu/content/departments-1.html
8. ISSO info, location and hours?	  8. ISSO info, location and hours: http://tinyurl.com/aboutisso	Info	Visa	http://tinyurl.com/aboutisso
I have been admitted to Columbia University as a candidate in master of science program in the electrical engineering beginning Fall 2016 and my UIN is XXXX. In this April, I applied for I-HOUSE using UAH applicantion system with the help of the instruction stated in the e-mail and after my application I recieved a confirmation that  I have applied for it successfully. However, when other students like me recieved the result of I-house, I did not recieved any e-mail about the result of I-house and UAH, yesterday I checked my status of I-house, however, the system shows that my personal file does not exist in the system, I feel very puzzled about that and I want to know the result of my I-house and UAH applications. I really need your help and really appreciate about that. Thank you very much!	Our office will be making UAH housing allocations in the coming weeks, and you can expect to receive an update by early August.  Regarding your application to I-House, our office does not manage the system. Please contact I-House with questions about the application you submitted to them independently. Their contact information is available here.	Notification	UAH	
I am preparing for my F-1 visa interview recently. I notice that the Embassy requires information of applicant's advisor. So, do I have an academic advisor or some other advisor?	You may list the Department Administrator from your Dept. Her/his information is available here.	Who	Advisor	
Does the university provide the airport pickup service for students? Could you provide me the related information? I am looking forward to your reply soon.	The University does not provide airport pickup for students. If you are not familiar with New York City public transportation, I recommend you take a taxi from the airport to your residence or temporary accommodation.  Please review the information for international students available here before traveling to the U.S. Our office will also be providing additional resources and information as the Fall semester approaches. 	Info	Airport pickup	
I am wondering what is the latest date to arrive in the university. and is that mandatory to attend the SEAS welcoming day? Because I can only apply the visa in July as earliest and I am afraid that I can not arrive in America vey early. 	Incoming graduate students are strongly encouraged to attend Grad SEAS Welcome Day on August 19. It is not, however, mandatory.  Please email your respective Department Administrator; her/his information is available here. They can best advise you regarding your required Department orientation.	Required	Welcome Day	
I really feel very honored about your admission for me. There is no doubt that Columbia university is my dream school. I'd love to be a student at Columbia University. But I am afraid I can't because there are some urgent things that make my master study plan to be delayed for several months. So I have to give up this chance to enter your university.	Refer to SEAS Graduate Admissions: seasgradmit@columbia.edu. 	Misc	Admission	
In the STEPS 8: Class Schedules & Registration, the pdf of all registration dates shows five different registration period. The last one is "Tuesday, August 30 – Thursday, September 1". In the STEP 5, it says that new students must provide proof of vaccination for Measles, Mumps and Rubella "no later than 30 days prior to course registration.” So do I have to submit vaccination document before July 30? 				
Do I have to have a medical examination? There is no such a requirement in the check list.	You may only need a medical exam if you do not have the required vaccinations referred to on the checklist.	Required	Medical Examination	
The deadline for final transcript is October, 7. Can I hand it in personally after arriving at Columbia University instead of mailing it?	Yes, you can drop them off at the address above. Please write your full name and UNI on the upper right corner of the envelope when you drop it off.	Dropoff	Transcript	
I am a prospective master's student in Operations Research at Columbia University starting this Fall.  I have an UAH account from my housing application from my previous year (I couldn't attend the master's program last year and I decided to reactivate my school application a year later).    I was wondering if I can use the same account for my application this year? Also would I still be on the waitlist from my previous application? That would be great! 	Last year's housing code is no longer valid. New incoming students only receive this year's application once they have submitted a deposit to enroll. I hope you will decide to join Columbia. If my information is outdated, and you've already submitted the deposit, you should be receiving the new housing application code and additional information from me on Monday. 	Reactivate	UAH	
I have already decided to join Columbia and paid the tuition deposit on April 19th, 2016 (please find the receipt attached). But I haven't received any email from UAH housing since then.		Notification	UAH	
I tried registering for housing with the new sign up code, but the system shows an error saying that there is already an account with the CUID.I just logged-in with my previous account and submitted an application. Is that okay?	Since you applied with last year's code, your application is incorrectly filed in the housing system. I will see if UAH can make the change manually. If not, you will have to re-submit the application.	Reactivate	UAH	
  I was wondering how likely it is for me to get housing now, since I submitted my application relatively late compared to the other prospective students?	As you know, UAH is extremely limited, and doctoral students are given priority. Unfortunately, the likelihood of your receiving a UAH allocation may be even lower, depending on whether your Department makes allocations based on application date. Every Department is unique in how they prioritize their allocations. 	Info	UAH, Late	
I'm an incoming first-year Ph.D. student in X Department. I'm a little concerned because I just received my housing assignment through UAH for the fall, and I have been assigned a move-in date of August 26, a week after orientation starts for the School of Engineering. Is this disparity in time a normal occurrence? Is there anything I can do to work out an earlier move-in date? I am not from the New York area, so not having a place to stay and not being settled while starting orientation is a bit worrisome to me. If it is relevant or useful, the preferences I put in my housing application were the weeks of 8/8, 8/1, and 7/25 (although I understand we were not guaranteed our preferences in move-in date.) Thank you very much for your time.	Thank you for your email. Unfortunately, we are unable to guarantee an earlier move-in date, but UAH may be able to accommodate you, hopefully by 8/18.  Please contact their office at uah@columbia.edu or 212-854-9300.	Info	UAH, Early move-in	
I would like your help regarding the timing of submission of my official transcripts.  I am planning to register for classes in the first slot that's available which will be prior to my arrival in the U.S.   As I wanted to submit my official transcripts in person, i.e, on my arrival in August, will there be a hold for my registration in July because of this issue?  Also, If I decide to submit my transcripts before the registration via mail, is there a deadline to it before the registration of classes?	 Information regarding official transcripts is available in Step 2 here. Please note the deadline is October 7, so you will have time to submit your transcripts in person. If you do not meet the October 7 deadline, you will have a hold on registration for Spring 2017. 	Deadline	Transcript	
I cannot login Columbia VPN with my credentials even though I was able to successfully login the Columbia sites. Can you tell me what is wrong?	Please refer your question to Columbia University Information Technology; their contact information can be found here.	Issue	VPN	https://cuit.columbia.edu/
I had applied for UAH and I received an email today stating that my application has been approved. In my application, I had answered 'Yes' to the question:  " Are you applying for one of the University Apartment Housing dormitory rooms at International House? "  However, at the time, I did not realise that I would have to submit additional applications by post to both UAH office and the I-House office. I would like to change my answer to ​'No' at this point. Can I do that at this point without affecting my application status, since my application has already been approved but no specific housing has been allotted yet?	If you have already been offered a specific housing unit, it is in your best interest to accept it. Otherwise, you may not receive another allocation.   If you have not been offered a specific unit, you may call the UAH office and indicate your preference. Their contact information is available here.	Misc	UAH	
I have looked over the new student check list, but I am a little unclear as to which things I have to do as I went to Columbia for undergrad.  Any help would be appreciated.	If you haven't already, please submit your final transcripts to our office per Step 2 on the check list. Additionally, please be sure to enroll in the University health insurance plan or waive it per Step 6.   You don't need to activate another UNI, apply for another ID, or re-submit vaccination docs. However, we do hope you will join us for as many Welcome Day activities as possible, as this is a great opportunity to meet new classmates and learn about the resources available at SEAS.	Info	Checklist, Undergrad	
I am trying to activate my UNI and it keeps saying that I do not have one. I have contacted CUIT and they said that its hasnt been generated yet. I was wondering if you can help me with that or let me know when I can expect it to be generated. 	Thanks for follow up on your UNI. There was some delay in the process, but you should be able to look up and activate your UNI either tomorrow or next day. Please try again within that time period and if you still cannot locate it let me know. To activate and look up your UNI you'll need to go here: http://cuit.columbia.edu/cuit/manage-my-uni   If you are applying for housing you may need your Columbia University ID or CUID.	Issue	Uni	http://cuit.columbia.edu/cuit/manage-my-uni
I'm an incoming first year M.S student and I've applied for housing on campus in April. However I still haven't gotten a reply yet. Should I be looking for housing elsewhere? If so, where can I start?	Housing information is available here. The password is SEAS2016. We recommend you begin looking for alternative housing accommodations by reviewing the slides and resources listed on that site.  UAH allocation notifications will be sent in June and July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August XX, 2016, you may consider your application Waitlisted. 	Notification	UAH	
I am a new student for EE master. And my husband is preparing for F2 VISA application. Do my husband need his own health certificate or need a MMR?	 For questions related to the visa application process or the status of your I-20, please contact newintlstudent@columbia.edu.	Info	Visa	
I am MSOR student and my CUID number is XXXX. The start date of MSOR program is on Sep  6th and my flight to America is on Aug 14th. I was wondering whether I can hand in my immunization documents in person between Aug 15th to Sep 6th. Thank you. 	 Please note that MMR and Meningitis Vaccination Documents must be received at least 30 days prior to course registration. Details about submitting your immunization documents is available in STEP 5 here.  Your Dept has early registration in the summer, so I recommend you submit your documents as soon as possible and certainly before August 15.	Deadline	Immunization	
Thank you for your e-mails. I have just sent a MMR immunization certification. Will I get a notification once it is received and accepted by the immunization office ?	http://welcomeday.gradengineering.columbia.edu/new-student-check-list.html  If you have sent copies of your immunization records, to confirm that they have been received, please contact Columbia Health at (212) 854-7210 or immunizationcompliance@columbia.edu.  http://welcomeday.gradengineering.columbia.edu/international-students.html  For questions related to the visa application process or the status of your I-20, please contact newintlstudent@columbia.edu.	Notification	Immunization	
Also, as regards my visa application, I sent all the documents for the I-20 form 3 weeks ago and still have no news... Is there any way we can speed up the process ?	 http://welcomeday.gradengineering.columbia.edu/international-students.html  For questions related to the visa application process or the status of your I-20, please contact newintlstudent@columbia.edu.	Notification	Visa	
 I submitted UAH applications (including International House) a while ago. I was wondering when the results will come out?	UAH allocation notifications will be sent in June and July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August XX, 2016, you may consider your application Waitlisted.	Notification	UAH	
Also, I would like to know how many graduate students from Financial Engineering was admitted to on-campus housing last year (including those who were admitted to International House)?		Info	UAH	
I graduated from the Master of Science in Material Science and Engineering program this May and have been admitted into the Data Science Master of Science program beginning Fall 2016. I would like to apply for University Apartment Housing (UAH), but I have not received the Columbia Housing Instructions. Should I just use the Housing code and PID number I got last year to apply for UAH?	UAH allocation notifications will be sent in June and July, 2016. If you do not receive a notification from UAH, and your status does not change in the Housing Portal by August XX, 2016, you may consider your application Waitlisted.	Info	UAH	
I am an incoming M.S EE graduate student and my uni is XXXX. Sorry for bothering but I am quiet confused about when will I be able to register for classes? I have submitted the vaccination forms and finished all the steps in the new student check-list. Because I see there is a registration period in July, I wonder is that only for continuing students? 	Registration typically begins in July for IEOR and CS, while other department registrations begin in August. Please refer to your respective department contact. You will know when to register when your appointment appears in SSOL. You will receive an email notification from your department about registration procedures as well.	Info	Registration	
I have even received my I20 from Columbia University. However, due to some personal issues, I would not be able to attend Columbia.  Could you please tell me what procedures I must complete to return back the I20 and also by when I must return my I20?	Please refer your status to seasgradmit@columbia.edu.	Info	Visa	
